德宏	36	193	5.35	142	27	0	0	22	0	0	0
定西	62	362	5.83	191	32	0	0	138	0	0	0
克孜勒苏	7	36	5.26	28	4	0	0	3	0	0	0
宜春	223	1364	6.1	872	82	13	8	254	134	0	0
宁波	3498	33928	9.69	12946	3135	73	73	3618	10993	9	3079
乌海	69	375	5.41	271	20	0	0	83	0	0	0
青岛	7291	71869	9.85	28394	4998	133	99	6465	25212	8	6555
济源	84	512	6.1	349	56	2	0	104	0	0	0
丹东	338	2590	7.66	1158	230	2	5	454	658	0	79
巴音郭楞	62	307	4.93	236	18	2	0	49	0	0	0
临汾	266	1620	6.07	952	181	9	2	299	175	0	0
陇南	22	113	5.14	90	10	0	0	12	0	0	0
辽源	59	342	5.79	261	25	0	0	55	0	0	0
焦作	240	1457	6.06	969	128	6	0	338	16	0	0
自贡	196	1180	6.0	631	164	1	0	220	151	0	10
周口	217	1369	6.29	931	145	7	4	279	0	0	0
黄南	1	4	3.26	2	0	0	0	0	0	0	0
常州	1348	10831	8.03	4449	919	38	34	1128	3420	3	835
固原	29	158	5.46	111	28	0	0	18	0	0	0
鞍山	613	4428	7.21	2751	405	9	6	843	409	1	2
通化	112	695	6.17	549	71	1	0	73	0	0	0
宁德	315	2341	7.42	1355	188	25	6	286	477	1	0
十堰	299	2106	7.02	1348	219	6	3	223	304	0	0
大连	4150	43555	10.49	14329	1992	63	167	5501	16481	2	5017
包头	390	2842	7.27	1022	275	0	5	872	570	0	96
鄂尔多斯	177	952	5.35	596	38	0	0	182	104	0	29
哈尔滨	2013	17037	8.46	7799	1443	25	44	2669	4048	0	1006
伊犁	161	1070	6.62	630	134	8	2	217	76	0	0
惠州	842	5962	7.08	2147	641	10	28	1119	1562	2	449
宿迁	447	3281	7.33	1870	178	24	6	353	800	0	48
遵义	308	2161	6.99	1150	240	6	0	459	224	0	79
黄冈	161	892	5.53	624	80	5	0	174	5	0	0
平顶山	316	2156	6.81	1511	161	3	1	140	281	0	56
攀枝花	130	712	5.47	448	60	0	0	148	53	0	0
烟台	2477	21691	8.75	10182	1374	100	91	2835	6140	0	966
五指山	25	128	5.11	83	29	0	0	15	0	0	0
白山	83	457	5.5	369	27	0	0	59	0	0	0
佳木斯	164	1083	6.6	636	84	1	0	261	100	0	0
商丘	376	2946	7.83	1471	199	9	9	255	751	1	248
河源	129	814	6.31	336	103	3	1	120	249	0	0
锡林郭勒	69	411	5.89	307	19	0	0	84	0	0	0
廊坊	1048	7466	7.12	3845	527	32	3	1579	1235	1	241
龙岩	256	1894	7.38	903	177	33	1	324	378	0	76
开封	334	2261	6.75	1300	218	8	5	247	395	0	85
茂名	132	790	5.94	377	90	2	0	288	31	0	0
西宁	651	5073	7.79	2896	348	10	1	916	723	0	176
马鞍山	258	1832	7.08	824	182	4	24	146	608	7	34
阿拉尔	13	64	4.94	61	1	0	0	2	0	0	0
临沂	1359	11558	8.5	4505	1097	35	28	1235	3780	0	874
邢台	496	3428	6.9	1970	332	10	8	389	716	0	0
梧州	146	895	6.1	434	120	0	0	320	19	0	0
聊城	550	3535	6.42	2013	263	8	0	338	820	2	87
铜陵	136	832	6.1	483	63	2	0	63	219	0	0
铜川	58	341	5.85	230	35	0	0	74	0	0	0
来宾	43	223	5.09	170	19	0	0	33	0	0	0
抚顺	378	2718	7.18	1715	207	5	4	652	132	0	0
鹤岗	57	310	5.36	244	20	0	0	45	0	0	0
黔西南	63	396	6.25	234	39	0	0	120	0	0	0
吐鲁番	25	131	5.13	110	7	0	0	13	0	0	0
湘西	77	483	6.2	377	65	0	0	39	0	0	0
抚州	129	807	6.23	574	51	3	0	165	12	0	0
大兴安岭	16	75	4.48	62	4	0	0	8	0	0	0
哈密	93	510	5.45	384	30	6	0	88	0	0	0
遂宁	157	903	5.74	456	118	0	3	210	97	0	15
荆门	143	913	6.35	636	85	1	0	189	0	0	0
沈阳	5100	50379	9.87	20257	3374	100	146	5564	17279	18	3638
博尔塔拉	37	220	5.9	188	10	0	0	22	0	0	0
林芝	12	54	4.38	34	5	0	0	14	0	0	0
黄山	146	1007	6.85	602	61	3	4	127	208	0	0
七台河	54	322	5.9	252	26	0	0	42	0	0	0
淄博	1268	10211	8.05	5008	1032	11	13	2325	1558	0	261
延边	204	1438	7.03	837	108	3	0	473	14	0	0
海南州	2	9	3.47	8	1	0	0	0	0	0	0
南平	195	1455	7.43	600	188	3	0	500	160	0	1
巴中	116	824	7.09	425	80	2	0	152	162	0	0
普洱	50	265	5.27	164	66	0	0	34	0	0	0
双鸭山	80	458	5.68	348	53	0	0	56	0	0	0
保定	1178	8722	7.4	3937	564	21	20	810	2850	0	516
许昌	328	2428	7.39	1279	194	1	1	242	569	0	139
松原	126	718	5.65	561	37	0	2	115	0	0	0
景德镇	173	1142	6.57	677	97	2	1	266	96	0	0
金昌	41	237	5.75	184	9	0	0	42	0	0	0
杭州	7930	80186	10.11	30646	3460	361	815	4076	27800	37	12988
东莞	2036	15042	7.38	4666	1345	34	87	3062	4849	12	984
衡水	393	2576	6.54	1681	244	7	1	286	354	0	0
安阳	346	2264	6.54	1169	217	9	0	368	426	0	73
宜宾	299	1999	6.68	1004	189	8	0	289	398	0	108
无锡	2051	17106	8.33	7562	1085	74	25	1463	5232	8	1653
榆林	287	1885	6.54	1260	106	3	1	248	265	0	0
澳门	57	416	7.26	160	135	0	0	16	103	0	0
舟山	180	1233	6.83	805	97	12	0	317	0	0	0
克拉玛依	110	694	6.29	560	53	4	0	76	0	0	0
赣州	542	4161	7.66	2648	264	13	50	578	605	0	0
银川	906	7707	8.5	3024	673	23	15	1166	2311	0	491
济宁	871	5891	6.76	2703	499	16	9	672	1636	1	351
淮安	428	3044	7.1	1542	261	1	2	202	836	0	197
日照	671	5344	7.96	2186	634	6	7	896	1318	0	294
安庆	315	2097	6.63	1144	191	2	1	234	394	0	129
徐州	1162	9678	8.32	4159	822	20	22	1247	2683	0	722
本溪	234	1448	6.17	961	163	0	3	319	0	0	0
中卫	42	266	6.33	124	41	0	0	99	0	0	0
石家庄	4436	40705	9.17	15364	2634	131	103	3770	15741	6	2952
芜湖	629	4933	7.84	2301	236	11	11	419	1573	0	379
仙桃	48	332	6.78	260	14	1	0	56	0	0	0
泸州	330	2311	6.99	1143	345	2	0	297	409	0	112
宿州	182	1083	5.92	756	86	2	1	158	77	0	0
衢州	253	1735	6.85	875	173	7	10	317	351	0	0
神农架	4	16	3.4	12	2	0	0	2	0	0	0
酒泉	81	510	6.29	275	60	0	0	171	2	0	0
香港	74	271	3.62	203	39	1	0	26	0	0	0
黑河	54	324	5.92	247	21	0	0	55	0	0	0
