,city_name,area,id_x,id_y,fee
59,天津,5,1.0,37,25271.36
60,天津,6,1.0,15,14771.51
61,广州,0,175.0,1520,886693.98
62,广州,1,118.0,1513,1118910.54
63,广州,2,50.0,778,959565.73
64,广州,3,19.0,436,634071.48
65,广州,4,13.0,207,562106.88
66,广州,5,11.0,197,437830.9
67,广州,6,2.0,87,66196.12
68,广州,7,1.0,23,19430.0
69,广州,8,2.0,52,180923.7
70,广州,10,4.0,111,354585.4
71,广州,25,1.0,4,1170784.56
72,广州,30,1.0,13,178020.0
73,成都,0,103.0,832,396194.77
74,成都,1,101.0,1023,1028395.23
75,成都,2,77.0,571,984651.35
76,成都,3,31.0,350,546491.41
77,成都,4,13.0,132,447873.95
78,成都,5,11.0,180,400167.93
79,成都,6,3.0,97,89143.05
80,成都,7,5.0,35,284186.0
81,成都,8,5.0,42,112403.0
82,成都,9,1.0,4,27930.0
83,成都,10,7.0,95,753058.16
84,成都,11,1.0,8,36091.0
85,成都,12,1.0,30,18107.5
86,成都,13,1.0,8,40416.4
87,成都,15,1.0,24,71340.36
88,成都,17,1.0,7,40000.0
89,成都,20,4.0,55,521734.0
90,成都,40,1.0,4,115035.54
91,无锡,0,3.0,10,3062.0
92,杭州,0,98.0,808,770371.68
93,杭州,1,69.0,993,604226.87
94,杭州,2,26.0,522,471348.76
95,杭州,3,23.0,355,562014.87
96,杭州,4,6.0,150,243323.69
97,杭州,5,10.0,172,221130.4
98,杭州,6,4.0,68,54229.99
99,杭州,7,2.0,27,47214.28
100,杭州,8,1.0,43,27132.0
101,杭州,9,1.0,16,44919.0
102,杭州,10,4.0,100,175115.0
103,杭州,12,1.0,15,81285.5
104,武汉,0,66.0,499,187980.44
105,武汉,1,71.0,792,417868.54
106,武汉,2,36.0,510,340306.0
107,武汉,3,19.0,257,199824.0
108,武汉,4,5.0,113,66060.5
109,武汉,5,7.0,138,308655.8
110,武汉,6,1.0,46,33593.6
111,武汉,7,3.0,27,70420.6
112,武汉,8,4.0,34,111425.0
113,武汉,10,4.0,52,107124.0
114,武汉,15,2.0,25,16400.0
115,武汉,20,2.0,19,169283.0
116,深圳,0,407.0,2893,1499690.4
117,深圳,1,206.0,2264,2393280.9
118,深圳,2,105.0,1011,1951522.9
119,深圳,3,52.0,684,1700209.25
120,深圳,4,25.0,232,997223.32
121,深圳,5,18.0,308,859801.99
122,深圳,6,10.0,154,535821.0
123,深圳,7,2.0,33,241909.07
124,深圳,8,7.0,76,1520688.0
125,深圳,9,1.0,15,63261.6
126,深圳,10,8.0,164,1242604.5
127,深圳,12,4.0,40,373629.5
128,深圳,15,3.0,54,285894.0
129,深圳,16,1.0,7,72825.4
