city,date,id
深圳,2018-04-09,241150
北京,2018-04-09,241151
深圳,2018-04-09,241152
深圳,2018-04-09,241155
北京,2018-04-09,241156
北京,2018-04-09,241157
武汉,2018-04-09,241158
深圳,2018-04-09,241159
北京,2018-04-09,241160
北京,2018-04-09,241161
杭州,2018-04-09,241162
上海,2018-04-09,241165
成都,2018-04-09,241166
北京,2018-04-09,241167
深圳,2018-04-09,241168
成都,2018-04-09,241169
深圳,2018-04-09,241171
深圳,2018-04-09,241172
北京,2018-04-09,241173
北京,2018-04-09,241174
深圳,2018-04-09,241175
北京,2018-04-09,241177
北京,2018-04-09,241178
广州,2018-04-09,241179
北京,2018-04-09,241181
深圳,2018-04-09,241182
上海,2018-04-09,241183
上海,2018-04-09,241184
上海,2018-04-09,241185
成都,2018-04-09,241186
深圳,2018-04-09,241187
北京,2018-04-09,241188
北京,2018-04-09,241189
北京,2018-04-09,241190
北京,2018-04-09,241191
北京,2018-04-09,241192
深圳,2018-04-09,241193
深圳,2018-04-09,241194
广州,2018-04-09,241195
上海,2018-04-09,241196
深圳,2018-04-09,241197
北京,2018-04-09,241198
广州,2018-04-09,241200
北京,2018-04-09,241202
上海,2018-04-09,241203
北京,2018-04-09,241205
上海,2018-04-09,241206
广州,2018-04-09,241207
北京,2018-04-09,241208
杭州,2018-04-09,241209
北京,2018-04-09,241210
北京,2018-04-09,241211
上海,2018-04-09,241212
北京,2018-04-09,241214
北京,2018-04-09,241215
天津,2018-04-09,241216
北京,2018-04-09,241218
杭州,2018-04-09,241220
成都,2018-04-09,241221
北京,2018-04-09,241222
成都,2018-04-09,241223
北京,2018-04-09,241224
北京,2018-04-09,241225
北京,2018-04-09,241226
成都,2018-04-09,241227
上海,2018-04-09,241228
北京,2018-04-09,241229
上海,2018-04-09,241230
北京,2018-04-09,241231
深圳,2018-04-09,241232
深圳,2018-04-09,241235
上海,2018-04-09,241236
上海,2018-04-09,241237
深圳,2018-04-09,241238
北京,2018-04-09,241239
深圳,2018-04-09,241240
成都,2018-04-09,241242
上海,2018-04-09,241243
上海,2018-04-09,241244
上海,2018-04-09,241245
深圳,2018-04-09,241246
北京,2018-04-09,241247
北京,2018-04-09,241248
广州,2018-04-09,241249
上海,2018-04-09,241250
武汉,2018-04-09,241251
北京,2018-04-09,241252
深圳,2018-04-09,241253
北京,2018-04-09,241254
北京,2018-04-09,241255
上海,2018-04-09,241256
北京,2018-04-09,241257
上海,2018-04-09,241258
成都,2018-04-09,241260
深圳,2018-04-09,241261
北京,2018-04-09,241262
上海,2018-04-09,241263
杭州,2018-04-09,241264
上海,2018-04-09,241265
成都,2018-04-09,241266
北京,2018-04-09,241267
杭州,2018-04-09,241268
广州,2018-04-09,241271
深圳,2018-04-09,241272
北京,2018-04-09,241274
广州,2018-04-09,241275
广州,2018-04-09,241276
北京,2018-04-09,241277
深圳,2018-04-09,241279
杭州,2018-04-09,241280
深圳,2018-04-09,241281
深圳,2018-04-09,241282
成都,2018-04-09,241283
北京,2018-04-09,241284
成都,2018-04-09,241286
上海,2018-04-09,241287
成都,2018-04-09,241288
深圳,2018-04-09,241289
北京,2018-04-09,241290
上海,2018-04-09,241291
上海,2018-04-09,241292
杭州,2018-04-09,241293
北京,2018-04-09,241295
广州,2018-04-09,241296
北京,2018-04-09,241297
上海,2018-04-09,241298
北京,2018-04-09,241299
杭州,2018-04-09,241300
北京,2018-04-09,241301
上海,2018-04-09,241302
上海,2018-04-09,241303
广州,2018-04-09,241304
武汉,2018-04-09,241305
上海,2018-04-09,241306
成都,2018-04-09,241307
北京,2018-04-09,241308
深圳,2018-04-09,241309
深圳,2018-04-09,241310
深圳,2018-04-09,241311
上海,2018-04-09,241312
上海,2018-04-09,241314
上海,2018-04-09,241315
上海,2018-04-09,241316
深圳,2018-04-09,241317
北京,2018-04-09,241318
上海,2018-04-09,241319
北京,2018-04-09,241320
北京,2018-04-09,241321
上海,2018-04-09,241322
北京,2018-04-09,241323
武汉,2018-04-09,241324
北京,2018-04-09,241325
北京,2018-04-09,241326
杭州,2018-04-09,241327
上海,2018-04-09,241328
北京,2018-04-09,241329
上海,2018-04-09,241330
上海,2018-04-09,241331
天津,2018-04-09,241333
北京,2018-04-09,241335
上海,2018-04-09,241336
北京,2018-04-09,241337
西安,2018-04-09,241338
上海,2018-04-09,241339
北京,2018-04-09,241340
北京,2018-04-09,241341
深圳,2018-04-09,241342
武汉,2018-04-09,241344
深圳,2018-04-09,241345
北京,2018-04-09,241346
北京,2018-04-09,241347
北京,2018-04-09,241349
北京,2018-04-09,241350
上海,2018-04-09,241351
北京,2018-04-09,241352
深圳,2018-04-09,241353
广州,2018-04-09,241354
武汉,2018-04-09,241355
广州,2018-04-09,241356
深圳,2018-04-09,241358
北京,2018-04-09,241359
北京,2018-04-09,241360
北京,2018-04-09,241361
北京,2018-04-09,241362
北京,2018-04-09,241363
北京,2018-04-09,241364
上海,2018-04-09,241365
北京,2018-04-09,241366
天津,2018-04-09,241367
上海,2018-04-09,241368
上海,2018-04-09,241369
北京,2018-04-09,241370
上海,2018-04-09,241372
北京,2018-04-09,241373
深圳,2018-04-09,241374
成都,2018-04-09,241375
北京,2018-04-09,241376
北京,2018-04-09,241377
上海,2018-04-09,241378
杭州,2018-04-09,241379
上海,2018-04-09,241380
广州,2018-04-09,241382
上海,2018-04-09,241383
深圳,2018-04-09,241384
杭州,2018-04-09,241385
深圳,2018-04-09,241386
上海,2018-04-09,241387
广州,2018-04-09,241388
北京,2018-04-09,241389
上海,2018-04-09,241390
深圳,2018-04-09,241392
上海,2018-04-09,241393
北京,2018-04-09,241394
天津,2018-04-09,241395
北京,2018-04-09,241396
北京,2018-04-09,241397
成都,2018-04-09,241398
广州,2018-04-09,241399
上海,2018-04-09,241400
北京,2018-04-09,241401
深圳,2018-04-09,241402
北京,2018-04-09,241403
深圳,2018-04-09,241405
广州,2018-04-09,241406
上海,2018-04-09,241407
深圳,2018-04-09,241408
上海,2018-04-09,241410
上海,2018-04-09,241411
上海,2018-04-09,241412
广州,2018-04-09,241413
北京,2018-04-09,241414
北京,2018-04-09,241415
深圳,2018-04-09,241417
北京,2018-04-09,241418
上海,2018-04-09,241419
深圳,2018-04-09,241420
