keywordId,onepv_uvc,mt_uvc,mt_pvc,uvc,pvc,sum(sr.impression),sum(sr.click),sum(sr.uv),sum(sr.pv),sum(sr.vppv),sum(sr.cost),avg(sr.position),terminal,subcategory,keyword,sc
47665201007,1.0,,,1,1,7,1,1,1,1,11.29,1.5,2.0,1.0,罗湖 天乐大厦,1
47665201025,1.0,,,1,1,15,1,1,1,1,10.09,1.0,2.0,1.0,罗湖地王大厦,1
47665201031,1.0,,,1,1,17,1,1,1,1,5.49,1.090909091,2.0,1.0,龙华新区望成大厦,1
47665201040,4.0,2.0,4.0,6,8,79,5,6,8,8,31.71,1.0,2.0,1.0,龙岗大运软件小镇,5
47665201043,1.0,,,1,1,68,4,1,1,1,23.74,1.097826087,2.0,1.0,宝安宝立方,4
47665201049,2.0,,,2,2,39,2,2,2,2,11.91,1.450555556,2.0,1.0,宝安西乡商会大厦,2
47665201052,1.0,,,1,1,13,1,1,1,1,4.88,1.0,2.0,1.0,龙岗中肯大厦,1
47665201070,1.0,,,1,1,34,2,1,1,1,17.88,1.153125,2.0,1.0,罗湖京基100,2
47665201097,1.0,,,1,1,8,1,1,1,1,6.15,1.142857143,2.0,1.0,罗湖国际商业大厦,1
47665201130,2.0,1.0,3.0,3,5,13,3,3,5,5,5.44,1.0,2.0,1.0,宝安老兵大厦,3
47665201133,1.0,,,1,1,31,1,1,1,0,6.4,1.111111111,2.0,1.0,南山智恒产业园,1
47665201139,1.0,,,1,1,12,1,1,1,1,5.33,1.0,2.0,1.0,南山云谷二期,1
47665201154,1.0,1.0,2.0,2,3,9,3,2,3,3,11.76,1.2,2.0,1.0,罗湖美景大厦,3
47665201166,,1.0,2.0,1,2,19,1,1,2,2,8.02,1.071428571,2.0,1.0,罗湖集浩大厦,1
47665201190,1.0,,,1,1,2,1,1,1,1,0.56,1.5,2.0,1.0,罗湖博龙大厦,1
47665201229,1.0,,,1,1,21,1,1,1,1,6.57,1.0,2.0,1.0,南山南山大厦,1
47665201235,1.0,,,1,1,42,1,1,1,0,14.18,1.0,2.0,1.0,南山金谷创业园,1
47665202123,22.0,11.0,69.0,33,91,2808,51,49,315,123,1259.7,1.003225806,2.0,1.0,写字楼,51
47665202132,6.0,4.0,19.0,10,25,1120,14,15,54,9,161.71,1.109354839,2.0,1.0,办公室,14
47665202135,2.0,1.0,8.0,3,10,344,5,4,15,0,65.42,1.027666667,2.0,1.0,办公楼,5
47665205276,6.0,,,6,6,138,8,6,6,6,64.5,1.162,2.0,1.0,龙华新区锦绣花园,8
47665205294,5.0,2.0,4.0,7,9,65,6,7,9,8,39.08,1.0,2.0,1.0,宝安梧桐岛,6
47665205315,2.0,1.0,6.0,3,8,21,2,3,8,2,15.24,1.05,2.0,1.0,龙岗天汇大厦,2
47665205321,2.0,1.0,2.0,3,4,32,3,3,4,2,26.8,1.0,2.0,1.0,罗湖庐山大厦,3
47665205351,1.0,,,1,1,37,1,1,1,1,10.6,1.0,2.0,1.0,龙岗李朗国际珠宝园,1
47665205411,1.0,,,1,1,14,1,1,1,1,7.23,1.125,2.0,1.0,福田爱地大厦,1
47665205420,1.0,,,1,1,8,1,1,1,1,6.61,1.0,2.0,1.0,南山兰光科技大厦,1
47665205450,1.0,,,1,1,14,1,1,1,1,6.22,1.0,2.0,1.0,福田嘉葆润金座,1
47665205468,3.0,1.0,2.0,4,5,49,5,4,5,4,40.62,1.046111111,2.0,1.0,罗湖深华商业大厦,5
47665205474,1.0,,,1,1,8,1,1,1,1,7.09,1.0,2.0,1.0,福田天安数码时代,1
47665205486,1.0,,,1,1,9,1,1,1,1,7.25,1.0,2.0,1.0,福田天健创业大厦,1
47665205489,1.0,,,1,1,29,1,1,1,1,10.37,1.118571429,2.0,1.0,福田金润大厦,1
47665205492,1.0,,,1,1,22,1,1,1,1,8.0,1.0,2.0,1.0,罗湖太平洋商贸大厦,1
